host_s,frame,x_ticks,x_vel_ticks_s,theta_rad,theta_vel_rad_s,u,captured,running,rail_blocked
1.7343,878,0,0.0,-0.0046,0.192,0.0000,0,0,0
1.7343,879,0,0.0,-0.0015,0.096,0.0000,0,0,0
1.7544,880,0,0.0,-0.0046,0.013,0.0000,0,0,0
1.7544,881,0,0.0,-0.0015,-0.028,0.0000,0,0,0
1.7544,882,0,0.0,-0.0061,-0.049,0.0000,0,0,0
1.7544,883,0,0.0,-0.0046,-0.094,0.0000,0,0,0
1.7745,884,0,0.0,-0.0015,0.030,0.0000,0,0,0
1.7746,885,0,0.0,-0.0046,-0.062,0.0000,0,0,0
1.7746,886,0,0.0,-0.0061,-0.031,0.0000,0,0,0
1.7746,887,0,0.0,-0.0031,0.023,0.0000,0,0,0
1.7947,888,0,0.0,-0.0061,-0.104,0.0000,0,0,0
1.7947,889,0,0.0,-0.0046,-0.052,0.0000,0,0,0
1.7947,890,0,0.0,-0.0015,0.089,0.0000,0,0,0
1.7948,891,0,0.0,-0.0046,0.006,0.0000,0,0,0
1.8149,892,0,0.0,-0.0046,0.041,0.0000,0,0,0
1.8149,893,0,0.0,-0.0138,-0.209,0.0000,0,0,0
1.8150,894,0,0.0,-0.0046,-0.181,0.0000,0,0,0
1.8150,895,0,0.0,-0.0015,-0.014,0.0000,0,0,0
1.8351,896,0,0.0,-0.0031,0.028,0.0000,0,0,0
1.8351,897,0,0.0,-0.0031,0.258,0.0000,0,0,0
1.8351,898,0,0.0,-0.0061,0.094,0.0000,0,0,0
1.8351,899,0,0.0,-0.0046,-0.023,0.0000,0,0,0
1.8552,900,0,0.0,-0.0031,-0.011,0.0000,0,0,0
1.8552,901,0,0.0,-0.0031,-0.006,0.0000,0,0,0
1.8552,902,0,0.0,-0.0123,-0.156,0.0000,0,0,0
1.8552,903,0,0.0,-0.0031,-0.040,0.0000,0,0,0
1.8754,904,0,0.0,0.0092,0.287,0.0000,0,0,0
1.8754,905,0,0.0,-0.0046,0.105,0.0000,0,0,0
1.8754,906,0,0.0,-0.0031,0.283,0.0000,0,0,0
1.8754,907,0,0.0,-0.0031,0.141,0.0000,0,0,0
1.8955,908,0,0.0,-0.0153,-0.543,0.0000,0,0,0
1.8955,909,0,0.0,-0.0031,-0.233,0.0000,0,0,0
1.8956,910,0,0.0,-0.0046,-0.155,0.0000,0,0,0
1.8956,911,0,0.0,-0.0046,-0.116,0.0000,0,0,0
1.9157,912,0,0.0,-0.0092,0.082,0.0000,0,0,0
1.9157,913,0,0.0,-0.0031,0.041,0.0000,0,0,0
1.9157,914,0,0.0,-0.0077,-0.049,0.0000,0,0,0
1.9358,915,0,0.0,-0.0046,-0.025,0.0000,0,0,0
1.9358,916,0,0.0,-0.0061,0.064,0.0000,0,0,0
